station,valid,metar
EGKK,2024-01-01 00:20,EGKK 010020Z 24014KT 9999 BKN026 08/04 Q0997
EGKK,2024-01-01 00:50,EGKK 010050Z 24013KT 9999 BKN029 08/04 Q0997
EGKK,2024-01-01 01:20,EGKK 010120Z 24011KT 9999 BKN025 08/04 Q0997
EGKK,2024-01-01 01:50,EGKK 010150Z 25012KT 9999 BKN026 08/04 Q0998
EGKK,2024-01-01 02:20,EGKK 010220Z 25013KT 9999 BKN024 08/04 Q0998
EGKK,2024-01-01 02:50,EGKK 010250Z 25014KT 9999 SCT025 BKN035 08/04 Q0999
EGKK,2024-01-01 03:20,EGKK 010320Z 25015KT 9999 FEW027 SCT032 BKN038 08/04 Q0999
EGKK,2024-01-01 03:50,EGKK 010350Z 25013KT 9999 FEW024 BKN043 08/04 Q1000
EGKK,2024-01-01 04:20,EGKK 010420Z 25011KT 9999 FEW025 BKN036 08/04 Q1000
EGKK,2024-01-01 04:50,EGKK 010450Z 24012KT 9999 BKN024 07/04 Q1001
EGKK,2024-01-01 05:20,EGKK 010520Z 25011KT 9999 SCT024 07/04 Q1001
EGKK,2024-01-01 05:50,EGKK 010550Z 24010KT 9999 FEW027 07/04 Q1001
EGKK,2024-01-01 06:20,EGKK 010620Z 24009KT 9999 FEW027 07/03 Q1002
EGKK,2024-01-01 06:50,EGKK 010650Z 22005KT 9999 SCT027 07/03 Q1002
EGKK,2024-01-01 07:20,EGKK 010720Z 22006KT 9999 FEW029 07/03 Q1003
EGKK,2024-01-01 07:50,EGKK 010750Z 23007KT CAVOK 07/03 Q1003
EGKK,2024-01-01 08:20,EGKK 010820Z 24008KT CAVOK 07/03 Q1004
EGKK,2024-01-01 08:50,EGKK 010850Z 24007KT CAVOK 07/03 Q1004
EGKK,2024-01-01 09:20,EGKK 010920Z 24007KT CAVOK 07/03 Q1004
EGKK,2024-01-01 09:50,EGKK 010950Z 24008KT CAVOK 07/03 Q1005
EGKK,2024-01-01 10:20,EGKK 011020Z 24008KT CAVOK 07/03 Q1005
EGKK,2024-01-01 10:50,EGKK 011050Z 23008KT CAVOK 08/03 Q1005
EGKK,2024-01-01 11:20,EGKK 011120Z 23008KT CAVOK 08/04 Q1005
EGKK,2024-01-01 11:50,EGKK 011150Z 22009KT CAVOK 08/04 Q1005
EGKK,2024-01-01 12:20,EGKK 011220Z 23007KT CAVOK 08/04 Q1005
